Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Freight,Mail,Total Cargo,Passenger Tonne Kilometer,Mail Tonne Kilometer,Freight Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor
NonScheduledDomestic,Air India,2015,01,204,231.000,120.000,25905.000,15260.000,17609.000,86.660,0.000,0.000,0.000,1145.000,0.000,0.000,1145.000,1694.000,67.591
NonScheduledDomestic,Air India,2015,02,194,221.000,115.000,24648.000,14626.000,16757.000,87.283,0.000,0.000,0.000,1097.000,0.000,0.000,1097.000,1631.000,67.259
NonScheduledDomestic,Air India,2015,03,234,272.000,145.000,30102.000,18690.000,21975.000,85.051,0.000,0.000,0.000,1402.000,0.000,0.000,1402.000,2086.000,67.210
NonScheduledDomestic,Air India,2015,04,162,193.000,103.000,19320.000,12436.000,15496.000,80.253,0.000,0.000,0.000,933.000,0.000,0.000,933.000,1434.000,65.063
NonScheduledDomestic,Air India,2015,05,218,252.000,132.000,27031.000,16601.000,19575.000,84.807,0.000,0.000,0.000,1245.000,0.000,0.000,1245.000,1828.000,68.107
NonScheduledDomestic,Air India,2015,06,214,248.000,132.000,27416.000,16800.000,19647.000,85.509,0.000,0.000,0.000,1260.000,0.000,0.000,1260.000,1876.000,67.164
NonScheduledDomestic,Air India,2015,07,136,168.000,84.000,17175.000,10701.000,12483.000,85.725,0.000,0.000,0.000,803.000,0.000,0.000,803.000,1124.000,71.441
NonScheduledDomestic,Air India,2015,08,154,183.000,90.000,19747.000,11489.000,12631.000,90.959,0.000,0.000,0.000,862.000,0.000,0.000,862.000,1209.000,71.299
NonScheduledDomestic,Air India,2015,09,182,229.000,93.000,23546.000,12059.000,13469.000,89.532,0.000,0.000,0.000,904.000,0.000,0.000,904.000,1309.000,69.060
NonScheduledDomestic,Air India,2015,10,190,240.000,100.000,24669.000,12970.000,14949.000,86.762,0.000,0.000,0.000,973.000,0.000,0.000,973.000,1436.000,67.758
NonScheduledDomestic,Air India,2015,11,178,227.000,96.000,23936.000,12931.000,14311.000,90.357,0.000,0.000,0.000,970.000,0.000,0.000,970.000,1404.000,69.088
NonScheduledDomestic,Air India,2015,12,181,250.000,98.000,23985.000,12907.000,14566.000,88.610,0.000,0.000,0.000,968.000,0.000,0.000,968.000,1408.000,68.750
NonScheduledDomestic,Air India,2016,01,204,290.000,113.000,26082.000,14586.000,16713.000,87.273,0.000,0.000,0.000,1094.000,0.000,0.000,1094.000,1622.000,67.448
NonScheduledDomestic,Air India,2016,02,196,278.000,111.000,25365.000,14330.000,16520.000,86.743,0.000,0.000,0.000,1075.000,0.000,0.000,1075.000,1590.000,67.610
NonScheduledDomestic,Air India,2016,03,228,325.000,133.000,29748.000,17460.000,19740.000,88.450,0.000,0.000,0.000,1310.000,0.000,0.000,1310.000,1915.000,68.407
NonScheduledDomestic,Air India,2016,04,218,321.000,129.000,28080.000,16146.000,19502.000,82.792,0.000,0.000,0.000,1211.000,0.000,0.000,1211.000,1943.000,62.326
NonScheduledDomestic,Air India,2016,05,261,425.000,185.000,40037.000,35368.000,37978.000,93.128,0.000,0.000,0.000,2653.000,0.000,0.000,2653.000,5019.000,52.859
NonScheduledDomestic,Air India,2016,06,221,319.000,128.000,28403.000,16476.000,18849.000,87.410,0.000,0.000,0.000,1236.000,0.000,0.000,1236.000,1835.000,67.357
NonScheduledDomestic,Air India,2016,07,222,315.000,123.000,27573.000,14378.000,17505.000,82.137,0.000,0.000,0.000,1078.000,0.000,0.000,1078.000,1698.000,63.486
NonScheduledDomestic,Air India,2016,08,209,306.000,124.000,26094.000,14119.000,16968.000,83.210,0.000,0.000,0.000,1059.000,0.000,0.000,1059.000,1650.000,64.182
