Year,Month,City1,City2,PaxToCity2,PaxFromCity2,FreightToCity2,FreightFromCity2,MailToCity2,MailFromCity2
2021,12,ADAMPUR,AHMEDABAD,30.00,0.00,0.00,0.00,0.00,0.00
2018,05,ADAMPUR,DELHI,2258.00,2190.00,0.00,0.86,0.00,0.00
2018,06,ADAMPUR,DELHI,1984.00,1981.00,0.00,4.33,0.00,0.00
2018,07,ADAMPUR,DELHI,2333.00,2205.00,0.00,1.93,0.00,0.00
2018,08,ADAMPUR,DELHI,2146.00,1981.00,0.00,0.48,0.00,0.00
2018,09,ADAMPUR,DELHI,2237.00,2164.00,0.00,0.61,0.00,0.00
2018,10,ADAMPUR,DELHI,2277.00,2251.00,0.00,1.35,0.00,0.00
2018,11,ADAMPUR,DELHI,2289.00,2319.00,0.00,2.96,0.00,0.00
2018,12,ADAMPUR,DELHI,2308.00,2290.00,0.00,1.17,0.00,0.00
2019,01,ADAMPUR,DELHI,2332.00,2307.00,0.00,0.96,0.00,0.00
2019,02,ADAMPUR,DELHI,2072.00,2097.00,0.00,0.43,0.00,0.00
2019,03,ADAMPUR,DELHI,2333.00,2303.00,0.00,0.75,0.00,0.00
2019,04,ADAMPUR,DELHI,2268.00,2257.00,0.00,0.89,0.00,0.00
2019,05,ADAMPUR,DELHI,1968.00,1776.00,0.00,1.28,0.00,0.00
2019,06,ADAMPUR,DELHI,2275.00,2172.00,0.00,0.74,0.00,0.00
2019,07,ADAMPUR,DELHI,2048.00,2088.00,0.00,0.78,0.00,0.00
2019,08,ADAMPUR,DELHI,2343.00,2296.00,0.00,0.97,0.00,0.00
2019,09,ADAMPUR,DELHI,2264.00,2145.00,0.00,1.47,0.00,0.00
2019,10,ADAMPUR,DELHI,2322.00,2606.00,0.00,0.98,0.00,0.00
2019,11,ADAMPUR,DELHI,2600.00,2525.00,0.00,1.53,0.00,0.00
2019,12,ADAMPUR,DELHI,2606.00,2601.00,0.00,1.97,0.00,0.00
2020,01,ADAMPUR,DELHI,2198.00,2248.00,0.00,1.34,0.00,0.00
2020,02,ADAMPUR,DELHI,2178.00,2190.00,0.00,0.87,0.00,0.00
2020,03,ADAMPUR,DELHI,1170.00,1144.00,0.00,0.98,0.00,0.00
2020,05,ADAMPUR,DELHI,59.00,45.00,0.00,0.00,0.00,0.00
2020,11,ADAMPUR,DELHI,257.00,205.00,0.00,0.01,0.00,0.00
2020,12,ADAMPUR,DELHI,939.00,863.00,0.00,0.03,0.00,0.00
2021,01,ADAMPUR,DELHI,1523.00,1447.00,0.00,0.00,0.00,0.00
2021,02,ADAMPUR,DELHI,1932.00,1923.00,0.00,0.08,0.00,0.00
2021,03,ADAMPUR,DELHI,1847.00,1921.00,3.12,0.12,0.00,0.00
2021,04,ADAMPUR,DELHI,905.00,872.00,4.04,0.59,0.00,0.00
2023,10,ADAMPUR,DELHI,140.00,131.00,0.00,0.00,0.00,0.00
2021,12,ADAMPUR,GUWAHATI,0.00,5.00,0.00,0.00,0.00,0.00
2024,03,ADAMPUR,HINDON AIRPORT,54.00,63.00,0.00,0.00,0.00,0.00
2024,04,ADAMPUR,HINDON AIRPORT,1724.00,1559.00,0.00,0.00,0.00,0.00
2024,06,ADAMPUR,HINDON AIRPORT,1661.00,1424.00,0.00,0.00,0.00,0.00
2024,07,ADAMPUR,HINDON AIRPORT,1280.00,1214.00,0.00,0.00,0.00,0.00
2024,08,ADAMPUR,HINDON AIRPORT,1063.00,976.00,0.00,0.00,0.00,0.00
2024,09,ADAMPUR,HINDON AIRPORT,881.00,817.00,0.00,0.00,0.00,0.00
2024,10,ADAMPUR,HINDON AIRPORT,1561.00,1578.00,0.00,0.00,0.00,0.00
2024,11,ADAMPUR,HINDON AIRPORT,1670.00,1528.00,0.00,0.00,0.00,0.00
2024,12,ADAMPUR,HINDON AIRPORT,1709.00,2018.00,0.00,0.00,0.00,0.00
2025,01,ADAMPUR,HINDON AIRPORT,1431.00,1317.00,0.00,0.00,0.00,0.00
2025,02,ADAMPUR,HINDON AIRPORT,1686.00,1653.00,0.00,0.00,0.00,0.00
2025,03,ADAMPUR,HINDON AIRPORT,1902.00,1839.00,0.00,0.00,0.00,0.00
2021,03,ADAMPUR,JAIPUR,23.00,22.00,0.11,0.00,0.00,0.00
2021,04,ADAMPUR,JAIPUR,43.00,44.00,0.00,0.00,0.00,0.00
2020,12,ADAMPUR,KANDLA,0.00,4.00,0.00,0.00,0.00,0.00
2021,01,ADAMPUR,KANDLA,0.00,2.00,0.00,0.00,0.00,0.00
2020,11,ADAMPUR,MUMBAI,169.00,72.00,0.00,0.00,0.00,0.00
2020,12,ADAMPUR,MUMBAI,912.00,558.00,0.00,0.00,0.00,0.00
2021,01,ADAMPUR,MUMBAI,272.00,159.00,0.00,0.00,0.00,0.00
2021,03,ADAMPUR,MUMBAI,42.00,60.00,0.36,0.00,0.00,0.00
2021,04,ADAMPUR,MUMBAI,143.00,138.00,0.99,0.03,0.00,0.00
2021,12,ADAMPUR,PATNA,0.00,47.00,0.00,0.00,0.00,0.00
2021,07,AGARTALA,AHMEDABAD,0.00,210.00,0.00,0.00,0.00,0.00
2021,08,AGARTALA,AHMEDABAD,0.00,168.00,0.00,0.00,0.00,0.00
2021,09,AGARTALA,AHMEDABAD,77.00,216.00,0.01,0.19,0.00,0.00
2021,10,AGARTALA,AHMEDABAD,149.00,266.00,0.00,0.00,0.00,0.00
2021,11,AGARTALA,AHMEDABAD,91.00,208.00,0.04,0.00,0.00,0.00
2021,12,AGARTALA,AHMEDABAD,52.00,335.00,0.00,0.02,0.00,0.00
2022,01,AGARTALA,AHMEDABAD,23.00,143.00,0.00,0.00,0.00,0.00
2022,02,AGARTALA,AHMEDABAD,0.00,254.00,0.00,0.53,0.00,0.00
2022,03,AGARTALA,AHMEDABAD,185.00,204.00,24.79,0.00,0.00,0.00
2022,04,AGARTALA,AHMEDABAD,89.00,131.00,0.00,0.00,0.00,0.00
2022,05,AGARTALA,AHMEDABAD,310.00,403.00,0.90,0.10,0.00,0.00
2022,06,AGARTALA,AHMEDABAD,325.00,422.00,20.82,0.03,0.00,0.00
2022,07,AGARTALA,AHMEDABAD,255.00,420.00,4.47,0.01,0.00,0.00
2022,08,AGARTALA,AHMEDABAD,276.00,363.00,0.82,0.23,0.00,0.00
2022,09,AGARTALA,AHMEDABAD,136.00,463.00,0.37,0.14,0.00,0.00
2022,10,AGARTALA,AHMEDABAD,599.00,411.00,0.20,0.16,0.00,0.00
2022,11,AGARTALA,AHMEDABAD,341.00,245.00,0.00,0.00,0.00,0.00
2022,12,AGARTALA,AHMEDABAD,499.00,639.00,0.00,0.10,0.00,0.00
2023,01,AGARTALA,AHMEDABAD,411.00,415.00,0.07,0.13,0.00,0.00
2023,02,AGARTALA,AHMEDABAD,372.00,332.00,0.00,0.17,0.00,0.00
2023,03,AGARTALA,AHMEDABAD,209.00,387.00,0.00,0.00,0.00,0.00
2023,04,AGARTALA,AHMEDABAD,290.00,322.00,0.00,0.63,0.00,0.00
2023,05,AGARTALA,AHMEDABAD,231.00,212.00,0.03,0.23,0.00,0.00
2023,06,AGARTALA,AHMEDABAD,260.00,268.00,0.34,0.07,0.00,0.00
2023,07,AGARTALA,AHMEDABAD,69.00,125.00,0.22,0.13,0.00,0.00
2023,08,AGARTALA,AHMEDABAD,41.00,76.00,0.12,0.00,0.00,0.00
2023,09,AGARTALA,AHMEDABAD,66.00,90.00,0.04,0.33,0.00,0.00
2023,10,AGARTALA,AHMEDABAD,208.00,486.00,0.05,0.30,0.00,0.00
