Year,Quarter,Airline,PaxToIndia,PaxFromIndia,FreightToIndia,FreightFromIndia
20,1,YEMENIA AIRWAYS,2919,3177,0.00,22.12
20,2,YEMENIA AIRWAYS,24,884,0.00,0.36
20,3,YEMENIA AIRWAYS,51,2412,0.00,1.53
20,4,YEMENIA AIRWAYS,104,447,0.00,0.00
21,1,YEMENIA AIRWAYS,738,622,0.00,5.66
21,2,YEMENIA AIRWAYS,386,546,0.00,4.32
21,3,YEMENIA AIRWAYS,367,879,0.00,5.07
21,4,YEMENIA AIRWAYS,1617,1255,0.27,14.66
22,1,YEMENIA AIRWAYS,2405,2147,0.00,19.91
22,2,YEMENIA AIRWAYS,2233,2142,0.00,18.73
22,3,YEMENIA AIRWAYS,2842,2744,0.14,24.36
22,4,YEMENIA AIRWAYS,3597,3277,0.00,31.14
23,1,YEMENIA AIRWAYS,3104,3361,0.00,24.77
23,2,YEMENIA AIRWAYS,2735,2807,0.14,28.84
23,3,YEMENIA AIRWAYS,3365,3486,0.00,26.76
23,4,YEMENIA AIRWAYS,1906,2538,0.00,34.17
24,1,YEMENIA AIRWAYS,1576,2306,0.21,31.59
24,2,YEMENIA AIRWAYS,472,1131,0.00,4.00
