Year,Quarter,Airline,PaxToIndiaM1,PaxFromIndiaM1,FreightToIndiaM1,FreightFromIndiaM1,PaxToIndiaM2,PaxFromIndiaM2,FreightToIndiaM2,FreightFromIndiaM2,PaxToIndiaM3,PaxFromIndiaM3,FreightToIndiaM3,FreightFromIndiaM3
22,4,AERO NOMAD,175,124,0.00,7.18,163,124,0.00,7.18,198,317,0.00,5.16
23,1,AERO NOMAD,394,261,0.00,10.81,295,636,0.00,3.00,343,700,0.00,7.57
23,2,AERO NOMAD,300,279,0.00,14.65,566,733,0.00,11.18,3391,410,0.12,19.21
23,3,AERO NOMAD,2196,831,0.00,11.79,287,1187,0.00,3.33,368,2828,0.00,5.02
23,4,AERO NOMAD,466,709,0.00,6.09,291,185,0.00,5.82,408,301,0.00,5.13
24,1,AERO NOMAD,615,258,1.00,2.42,389,471,0.00,4.38,367,504,0.15,3.11
24,2,AERO NOMAD,83,154,0.00,7.61,2778,571,0.00,7.62,1880,311,0.00,26.65
15,1,AEROFLOT,5088,6901,7.58,199.70,5277,5529,20.54,344.77,4848,6609,19.21,393.23
15,2,AEROFLOT,4316,6502,16.58,406.86,4108,6933,14.23,322.29,5765,6012,15.18,293.70
15,3,AEROFLOT,6163,4650,18.98,271.58,4989,6866,8.18,225.62,5056,6070,3.31,130.71
15,4,AEROFLOT,6975,5879,2.99,144.85,6271,5887,8.89,137.57,6958,5285,16.07,156.49
16,1,AEROFLOT,4896,6892,9.33,152.14,5266,5746,214.28,22.76,8257,9411,20.50,225.20
16,2,AEROFLOT,5994,7963,5.49,87.58,5397,8120,11.44,77.67,7444,6985,11.20,89.83
16,3,AEROFLOT,8758,6342,13.31,111.20,7098,8099,6.88,69.64,7878,8206,6.97,38.00
16,4,AEROFLOT,9447,8500,6.47,42.33,11565,11675,15.54,104.51,14338,9380,16.61,278.72
17,1,AEROFLOT,10137,13506,7.37,211.64,11531,11497,10.23,388.14,10536,14607,19.57,498.54
17,2,AEROFLOT,9899,13074,21.12,652.37,9036,13917,12.84,626.75,11394,10482,52.35,387.62
17,3,AEROFLOT,13328,9959,39.80,519.11,11650,13445,22.47,661.93,11509,13328,23.78,666.96
17,4,AEROFLOT,14230,13762,40.97,668.67,12679,12018,36.53,600.17,15365,10963,39.47,550.75
18,1,AEROFLOT,12042,14203,33.84,655.64,13235,13325,35.22,347.61,10878,15713,39.68,535.23
18,2,AEROFLOT,8988,13506,51.27,622.13,8742,13231,29.93,625.29,12223,10947,20.87,369.33
18,3,AEROFLOT,13623,10161,41.67,468.54,12284,13959,29.86,440.39,11443,14846,18.01,467.30
18,4,AEROFLOT,14489,12928,34.32,364.86,12579,12151,24.38,206.90,16854,11348,25.01,288.38
19,1,AEROFLOT,12285,15058,17.13,166.66,13054,13420,40.93,286.85,10886,16584,39.70,314.29
19,2,AEROFLOT,11419,15818,58.00,447.82,11685,16969,34.41,461.28,16281,16007,53.25,257.88
19,3,AEROFLOT,16345,13691,120.19,290.57,27450,33012,314.78,452.37,15148,14641,48.55,314.35
19,4,AEROFLOT,14085,13049,86.15,287.24,12719,12208,24.38,206.90,16386,12652,65.45,221.09
20,2,AEROFLOT,0,403,0.00,0.00,0,277,0.00,8.23,364,354,0.00,20.72
20,3,AEROFLOT,0,0,0.00,0.00,16,321,1.29,15.57,0,0,8.45,107.50
20,4,AEROFLOT,259,164,0.42,129.09,0,0,1.06,34.94,0,0,9.72,59.63
21,1,AEROFLOT,0,0,0.00,0.00,844,977,11.28,59.35,1871,2558,15.81,89.25
21,2,AEROFLOT,1528,2311,35.80,73.30,894,2305,76.27,126.37,1608,2272,12.41,95.32
21,3,AEROFLOT,2479,2656,18.49,130.90,2346,3068,13.96,123.39,2008,2779,14.74,107.63
21,4,AEROFLOT,3112,3278,31.61,140.84,2735,2774,20.08,161.20,2648,2826,44.46,143.47
22,1,AEROFLOT,2706,3200,34.43,152.76,2171,2497,16.20,117.14,675,640,3.43,37.98
22,2,AEROFLOT,0,0,0.00,0.00,2173,2175,10.15,85.20,2285,2174,28.41,81.72
22,3,AEROFLOT,2665,2549,39.54,99.97,4253,4428,33.19,170.68,4963,4895,28.36,217.03
22,4,AEROFLOT,5092,4311,31.61,191.91,5317,4731,28.23,158.27,6417,5113,52.86,327.99
23,1,AEROFLOT,5712,5386,29.68,176.72,6115,5799,34.18,264.87,6107,7601,51.33,346.75
23,2,AEROFLOT,5758,8773,71.45,270.05,4543,7239,58.39,267.43,7826,5323,68.90,252.40
